,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Featuretype,Selection_size,Selection_method
4190,SVR,pKd pKi pIC50,all,1.3152833318063577,2.6878527672992334,1.1401729384031187,0.673786,[0.617 ~ 0.724],0.429443,slim,size35,mutual info regression
4191,DecisionTree,pKd pKi pIC50,all,1.7338947368421052,4.713919298245615,1.99743889080473,0.46022,[0.38 ~ 0.534],-0.000634,slim,size35,mutual info regression
4192,RandomForest,pKd pKi pIC50,all,1.2506192982456137,2.391070902210525,1.16557980798127,0.729843,[0.681 ~ 0.772],0.492442,slim,size35,mutual info regression
4193,XGBoost,pKd pKi pIC50,all,1.2988232138115066,2.6389643952690283,1.3352049589157104,0.670419,[0.613 ~ 0.721],0.439821,slim,size35,mutual info regression
4194,linearRegression,pKd pKi pIC50,all,107886.97541215188,3317185502311.1187,1818116.3144186295,0.079731,[-0.018 ~ 0.176],-704146447819.9498,final,size40,f regression 
4195,Ridge,pKd pKi pIC50,all,1.683033889513592,4.8161961556236,1.112226165981081,0.250309,[0.156 ~ 0.34],-0.022345,final,size40,f regression 
4196,Lasso,pKd pKi pIC50,all,1.6630481757806972,4.314220332256588,0.9186135355813498,0.328368,[0.238 ~ 0.413],0.084211,final,size40,f regression 
4197,ElasticNet,pKd pKi pIC50,all,1.6610911241082145,4.281551175927947,0.8972715687409185,0.334484,[0.245 ~ 0.418],0.091145,final,size40,f regression 
4198,SVR,pKd pKi pIC50,all,1.658143066944767,4.136255846778515,0.8347013207412741,0.358555,[0.27 ~ 0.441],0.121988,final,size40,f regression 
4199,DecisionTree,pKd pKi pIC50,all,2.11059649122807,6.800844210526315,1.871617098131742,0.174771,[0.078 ~ 0.268],-0.443631,final,size40,f regression 
4200,RandomForest,pKd pKi pIC50,all,1.653816140350877,4.175521858245614,0.953197793058921,0.35253,[0.264 ~ 0.435],0.113653,final,size40,f regression 
4201,XGBoost,pKd pKi pIC50,all,1.804468060443276,4.988370779895941,1.2571768760681152,0.246182,[0.152 ~ 0.336],-0.058893,final,size40,f regression 
4202,linearRegression,pKd pKi pIC50,all,118183.72730477752,3980597335494.601,1991640.296409548,0.079731,[-0.018 ~ 0.176],-844970373841.8962,GAP,size40,f regression 
4203,Ridge,pKd pKi pIC50,all,1.6830338895136765,4.816196155623132,1.112226165980563,0.250309,[0.156 ~ 0.34],-0.022345,GAP,size40,f regression 
4204,Lasso,pKd pKi pIC50,all,1.649603968712613,4.117334255416186,0.8194801909024023,0.371235,[0.284 ~ 0.452],0.126004,GAP,size40,f regression 
4205,ElasticNet,pKd pKi pIC50,all,1.662313206213576,4.311611536151865,0.9147915317285634,0.328362,[0.238 ~ 0.413],0.084764,GAP,size40,f regression 
4206,SVR,pKd pKi pIC50,all,1.6581430669450794,4.136255846778656,0.8347013207435098,0.358555,[0.27 ~ 0.441],0.121988,GAP,size40,f regression 
4207,DecisionTree,pKd pKi pIC50,all,2.156526315789473,7.04145298245614,1.916265861982927,0.163873,[0.067 ~ 0.257],-0.494705,GAP,size40,f regression 
4208,RandomForest,pKd pKi pIC50,all,1.6531536842105266,4.213250559649124,0.944982726322656,0.340691,[0.251 ~ 0.424],0.105644,GAP,size40,f regression 
4209,XGBoost,pKd pKi pIC50,all,1.804468060443276,4.988370779895941,1.2571769952774048,0.246182,[0.152 ~ 0.336],-0.058893,GAP,size40,f regression 
4210,linearRegression,pKd pKi pIC50,all,2.948943765673891,594.8375626993801,24.1090598297046,-0.070703,[-0.167 ~ 0.027],-125.267511,final,size40,r regression 
4211,Ridge,pKd pKi pIC50,all,1.515215086837669,3.500411251666007,0.9080864638760684,0.522881,[0.448 ~ 0.59],0.25696,final,size40,r regression 
4212,Lasso,pKd pKi pIC50,all,1.5154215592951366,3.4972104055451454,0.8944852483953124,0.523255,[0.449 ~ 0.591],0.257639,final,size40,r regression 
4213,ElasticNet,pKd pKi pIC50,all,1.515010498152195,3.497213214379763,0.905964931875406,0.523649,[0.449 ~ 0.591],0.257639,final,size40,r regression 
4214,SVR,pKd pKi pIC50,all,1.5310861842744763,3.5562625029714385,0.8811128058695554,0.505481,[0.429 ~ 0.575],0.245104,final,size40,r regression 
4215,DecisionTree,pKd pKi pIC50,all,1.8094385964912283,5.1643603508771925,1.8476196546982304,0.370533,[0.283 ~ 0.452],-0.09625,final,size40,r regression 
4216,RandomForest,pKd pKi pIC50,all,1.481642456140351,3.3597369370877184,0.9521158285311138,0.546472,[0.474 ~ 0.611],0.286821,final,size40,r regression 
4217,XGBoost,pKd pKi pIC50,all,1.5130066073568242,3.6060983203643207,1.302272081375122,0.498077,[0.421 ~ 0.568],0.234525,final,size40,r regression 
4218,linearRegression,pKd pKi pIC50,all,2.266575720008305,210.82297886742725,14.243056642690847,-0.047438,[-0.144 ~ 0.05],-43.751869,GAP,size40,r regression 
4219,Ridge,pKd pKi pIC50,all,1.4150111098814504,3.1239914244627216,0.994071592958428,0.609575,[0.544 ~ 0.667],0.336863,GAP,size40,r regression 
4220,Lasso,pKd pKi pIC50,all,1.416242622532013,3.136782658449185,1.0072491679437607,0.606732,[0.541 ~ 0.665],0.334148,GAP,size40,r regression 
4221,ElasticNet,pKd pKi pIC50,all,1.415623881568617,3.131592147822859,1.0021856291645046,0.607878,[0.542 ~ 0.666],0.33525,GAP,size40,r regression 
4222,SVR,pKd pKi pIC50,all,1.4235180643214298,3.1857375461067923,0.986965225492306,0.585819,[0.518 ~ 0.646],0.323756,GAP,size40,r regression 
4223,DecisionTree,pKd pKi pIC50,all,1.8410175438596488,5.298265614035088,1.814309892653536,0.344066,[0.255 ~ 0.427],-0.124675,GAP,size40,r regression 
4224,RandomForest,pKd pKi pIC50,all,1.3664456140350876,2.83744847614035,1.061159228741437,0.651868,[0.592 ~ 0.705],0.397688,GAP,size40,r regression 
4225,XGBoost,pKd pKi pIC50,all,1.440659767686275,3.2224527124094355,1.4147449731826782,0.576544,[0.507 ~ 0.638],0.315963,GAP,size40,r regression 
4226,linearRegression,pKd pKi pIC50,all,1.547692974460093,3.626189367011796,0.9643452449445352,0.485333,[0.407 ~ 0.557],0.230261,final,size40,mutual info regression
4227,Ridge,pKd pKi pIC50,all,1.5473095729156456,3.626066331900545,0.9619384903622864,0.48546,[0.407 ~ 0.557],0.230287,final,size40,mutual info regression
4228,Lasso,pKd pKi pIC50,all,1.5469892633009517,3.623733352989889,0.945824088861987,0.486826,[0.409 ~ 0.558],0.230782,final,size40,mutual info regression
4229,ElasticNet,pKd pKi pIC50,all,1.5467201216673827,3.622983512514736,0.9458924358773232,0.48695,[0.409 ~ 0.558],0.230941,final,size40,mutual info regression
4230,SVR,pKd pKi pIC50,all,1.5297945269319817,3.57220613565263,0.9827468204043373,0.493424,[0.416 ~ 0.564],0.24172,final,size40,mutual info regression
4231,DecisionTree,pKd pKi pIC50,all,1.7104561403508771,5.061587368421053,1.7541408860397534,0.358696,[0.271 ~ 0.441],-0.074435,final,size40,mutual info regression
4232,RandomForest,pKd pKi pIC50,all,1.427717192982456,3.0934064153684218,0.9596912390125736,0.611514,[0.547 ~ 0.669],0.343356,final,size40,mutual info regression
4233,XGBoost,pKd pKi pIC50,all,1.5411096962376645,3.465849326710136,1.3709275722503662,0.526356,[0.452 ~ 0.593],0.264296,final,size40,mutual info regression
4234,linearRegression,pKd pKi pIC50,all,1.4467398378208234,3.13701993730729,0.9164374318516364,0.612076,[0.547 ~ 0.67],0.334098,GAP,size40,mutual info regression
4235,Ridge,pKd pKi pIC50,all,1.4466689653131697,3.136450901604689,0.9157877030002358,0.612316,[0.547 ~ 0.67],0.334218,GAP,size40,mutual info regression
4236,Lasso,pKd pKi pIC50,all,1.4437326949043223,3.120149921180068,0.9028211834820002,0.617932,[0.554 ~ 0.675],0.337679,GAP,size40,mutual info regression
4237,ElasticNet,pKd pKi pIC50,all,1.4444887035494116,3.123500920670213,0.9044168800959624,0.616922,[0.553 ~ 0.674],0.336967,GAP,size40,mutual info regression
4238,SVR,pKd pKi pIC50,all,1.4095966217436695,3.1965195347869853,1.0554769835369584,0.576346,[0.507 ~ 0.638],0.321468,GAP,size40,mutual info regression
4239,DecisionTree,pKd pKi pIC50,all,1.760982456140351,5.0525326315789485,1.8416316129577843,0.38227,[0.296 ~ 0.463],-0.072512,GAP,size40,mutual info regression
4240,RandomForest,pKd pKi pIC50,all,1.3120080701754386,2.751638022701754,1.110070609475385,0.663442,[0.605 ~ 0.715],0.415904,GAP,size40,mutual info regression
4241,XGBoost,pKd pKi pIC50,all,1.4318518500077098,3.0979887705007783,1.3668535947799685,0.595091,[0.528 ~ 0.655],0.342383,GAP,size40,mutual info regression
4242,linearRegression,pKd pKi pIC50,all,139302.49169456895,5530355677018.056,2347541.6281913854,0.079731,[-0.018 ~ 0.176],-1173941072165.622,final,size45,f regression 
4243,Ridge,pKd pKi pIC50,all,1.5832266266507156,4.372014781907693,1.1250806036677552,0.329195,[0.239 ~ 0.414],0.071943,final,size45,f regression 
4244,Lasso,pKd pKi pIC50,all,1.5653581097228904,3.9482877321318752,0.9585311858350494,0.404785,[0.32 ~ 0.483],0.161888,final,size45,f regression 
4245,ElasticNet,pKd pKi pIC50,all,1.5714039124713168,4.071305223698099,1.0101598799028046,0.379333,[0.293 ~ 0.46],0.135775,final,size45,f regression 
4246,SVR,pKd pKi pIC50,all,1.5501659109885164,3.645675149676445,0.8340388974713793,0.486885,[0.409 ~ 0.558],0.226124,final,size45,f regression 
4247,DecisionTree,pKd pKi pIC50,all,1.9495438596491232,5.875783157894737,1.8043828368658332,0.273727,[0.181 ~ 0.362],-0.247266,final,size45,f regression 
4248,RandomForest,pKd pKi pIC50,all,1.536722105263158,3.592281013403509,0.9132706371068432,0.493675,[0.416 ~ 0.564],0.237458,final,size45,f regression 
4249,XGBoost,pKd pKi pIC50,all,1.6574707567315352,4.25400461632898,1.244003176689148,0.371193,[0.284 ~ 0.452],0.096993,final,size45,f regression 
4250,linearRegression,pKd pKi pIC50,all,140432.70076009558,5620460106851.084,2366588.2568139555,0.079731,[-0.018 ~ 0.176],-1193067742698.715,GAP,size45,f regression 
4251,Ridge,pKd pKi pIC50,all,1.5832266266503467,4.372014781904105,1.1250806036687406,0.329195,[0.239 ~ 0.414],0.071943,GAP,size45,f regression 
4252,Lasso,pKd pKi pIC50,all,1.5664883835383796,3.9830683917615866,0.9824611941497324,0.398232,[0.313 ~ 0.477],0.154505,GAP,size45,f regression 
4253,ElasticNet,pKd pKi pIC50,all,1.571922933005567,4.085270892209436,1.0161550087996116,0.376708,[0.29 ~ 0.458],0.13281,GAP,size45,f regression 
4254,SVR,pKd pKi pIC50,all,1.5501659109885149,3.6456751496764537,0.8340388974713984,0.486885,[0.409 ~ 0.558],0.226124,GAP,size45,f regression 
4255,DecisionTree,pKd pKi pIC50,all,1.882245614035088,5.37592350877193,1.7559223307890413,0.319586,[0.229 ~ 0.405],-0.141159,GAP,size45,f regression 
4256,RandomForest,pKd pKi pIC50,all,1.553577894736842,3.650982898421052,0.9064922169432914,0.478924,[0.4 ~ 0.551],0.224998,GAP,size45,f regression 
4257,XGBoost,pKd pKi pIC50,all,1.6574707567315352,4.254004616328979,1.244003176689148,0.371193,[0.284 ~ 0.452],0.096993,GAP,size45,f regression 
4258,linearRegression,pKd pKi pIC50,all,3.1783001589099698,786.027131976155,27.757096127109435,-0.073157,[-0.17 ~ 0.025],-165.851752,final,size45,r regression 
4259,Ridge,pKd pKi pIC50,all,1.5257041728123515,3.5060789577887936,0.9260854640087536,0.519836,[0.445 ~ 0.588],0.255757,final,size45,r regression 
4260,Lasso,pKd pKi pIC50,all,1.5233510507987449,3.492234926043409,0.9153988737367428,0.523245,[0.449 ~ 0.591],0.258695,final,size45,r regression 
4261,ElasticNet,pKd pKi pIC50,all,1.523971803842978,3.4910900645209275,0.901708170998352,0.523385,[0.449 ~ 0.591],0.258938,final,size45,r regression 
4262,SVR,pKd pKi pIC50,all,1.528744608168519,3.528262525331351,0.875865819373458,0.513492,[0.438 ~ 0.582],0.251048,final,size45,r regression 
4263,DecisionTree,pKd pKi pIC50,all,1.797789473684211,5.234290877192983,1.7802303322051598,0.344048,[0.255 ~ 0.427],-0.111095,final,size45,r regression 
4264,RandomForest,pKd pKi pIC50,all,1.497344210526316,3.3943435921754386,0.9464351022726876,0.539852,[0.467 ~ 0.606],0.279475,final,size45,r regression 
4265,XGBoost,pKd pKi pIC50,all,1.531883017556709,3.56585321677636,1.325756549835205,0.50753,[0.431 ~ 0.577],0.243068,final,size45,r regression 
4266,linearRegression,pKd pKi pIC50,all,2.4678835804486527,313.0558805139146,17.424587888302916,-0.055284,[-0.152 ~ 0.043],-65.453078,GAP,size45,r regression 
4267,Ridge,pKd pKi pIC50,all,1.4243427083609046,3.1509150185162644,1.0101744229206964,0.602172,[0.536 ~ 0.661],0.331148,GAP,size45,r regression 
4268,Lasso,pKd pKi pIC50,all,1.423607601329098,3.148253921169528,1.012760410820253,0.602803,[0.537 ~ 0.662],0.331713,GAP,size45,r regression 
4269,ElasticNet,pKd pKi pIC50,all,1.4252690098834715,3.160134158338849,1.0200810611726543,0.600229,[0.534 ~ 0.659],0.329191,GAP,size45,r regression 
4270,SVR,pKd pKi pIC50,all,1.4197302131213678,3.163999879454705,0.9882917294848528,0.590448,[0.523 ~ 0.651],0.328371,GAP,size45,r regression 
4271,DecisionTree,pKd pKi pIC50,all,1.7883859649122806,4.93217298245614,1.972430239932564,0.429637,[0.347 ~ 0.506],-0.046963,GAP,size45,r regression 
4272,RandomForest,pKd pKi pIC50,all,1.3415680701754382,2.7616989671228067,1.0467475079336674,0.670449,[0.613 ~ 0.721],0.413768,GAP,size45,r regression 
4273,XGBoost,pKd pKi pIC50,all,1.505816526028148,3.5581331790468624,1.4451926946640017,0.532182,[0.458 ~ 0.599],0.244707,GAP,size45,r regression 
4274,linearRegression,pKd pKi pIC50,all,1.5592292936377476,3.616612032375657,0.9041440272478122,0.489575,[0.412 ~ 0.56],0.232294,final,size45,mutual info regression
4275,Ridge,pKd pKi pIC50,all,1.5591243761626696,3.616057241535308,0.9006281289653338,0.49001,[0.412 ~ 0.561],0.232411,final,size45,mutual info regression
4276,Lasso,pKd pKi pIC50,all,1.5595715266051733,3.624126742119966,0.8794807573491206,0.490721,[0.413 ~ 0.561],0.230698,final,size45,mutual info regression
4277,ElasticNet,pKd pKi pIC50,all,1.557516203006952,3.6143483616838328,0.872608937944149,0.493981,[0.416 ~ 0.564],0.232774,final,size45,mutual info regression
4278,SVR,pKd pKi pIC50,all,1.5106519351123555,3.5252108909545536,1.0251217066694407,0.502702,[0.426 ~ 0.572],0.251696,final,size45,mutual info regression
4279,DecisionTree,pKd pKi pIC50,all,2.0006666666666666,6.3139,1.779582278477895,0.209831,[0.115 ~ 0.301],-0.340266,final,size45,mutual info regression
4280,RandomForest,pKd pKi pIC50,all,1.4636333333333331,3.226047449508772,0.958753386833158,0.578069,[0.509 ~ 0.64],0.3152,final,size45,mutual info regression
4281,XGBoost,pKd pKi pIC50,all,1.5601813564969784,3.8148945896703297,1.2925888299942017,0.459059,[0.378 ~ 0.533],0.190204,final,size45,mutual info regression
4282,linearRegression,pKd pKi pIC50,all,1.36692150368232,2.8439439371494224,0.923783105495889,0.683449,[0.628 ~ 0.732],0.39631,GAP,size45,mutual info regression
4283,Ridge,pKd pKi pIC50,all,1.3685480856058982,2.845608169003433,0.9202463123732602,0.683644,[0.628 ~ 0.732],0.395956,GAP,size45,mutual info regression
4284,Lasso,pKd pKi pIC50,all,1.3713143092407734,2.8533873385236217,0.9023753081018157,0.686263,[0.631 ~ 0.735],0.394305,GAP,size45,mutual info regression
4285,ElasticNet,pKd pKi pIC50,all,1.3704018820712631,2.852927341243819,0.910784610428657,0.684068,[0.628 ~ 0.733],0.394403,GAP,size45,mutual info regression
4286,SVR,pKd pKi pIC50,all,1.349072016467674,2.8715654189272226,1.0928761401825924,0.643428,[0.582 ~ 0.697],0.390446,GAP,size45,mutual info regression
4287,DecisionTree,pKd pKi pIC50,all,1.7734035087719298,4.963898245614036,1.8251862020645544,0.3911,[0.305 ~ 0.471],-0.053698,GAP,size45,mutual info regression
4288,RandomForest,pKd pKi pIC50,all,1.2445484210526312,2.4725993726666657,1.1186172547719626,0.721613,[0.671 ~ 0.765],0.475136,GAP,size45,mutual info regression
4289,XGBoost,pKd pKi pIC50,all,1.3247342923147636,2.848290178713776,1.3655229806900024,0.635069,[0.573 ~ 0.69],0.395387,GAP,size45,mutual info regression
4290,linearRegression,pKd pKi pIC50,all,137438.6727191694,5383356042617.491,2316132.0923543265,0.079731,[-0.018 ~ 0.176],-1142737128243.2756,final,size50,f regression 
4291,Ridge,pKd pKi pIC50,all,1.57514978053988,4.151091198852128,1.0409801808962396,0.36404,[0.276 ~ 0.446],0.118839,final,size50,f regression 
4292,Lasso,pKd pKi pIC50,all,1.5624208903354937,3.8303226740607146,0.8975060438812799,0.433546,[0.351 ~ 0.51],0.186929,final,size50,f regression 
4293,ElasticNet,pKd pKi pIC50,all,1.565152574615758,3.845881279466306,0.8907484259963656,0.43036,[0.347 ~ 0.507],0.183626,final,size50,f regression 
4294,SVR,pKd pKi pIC50,all,1.5539301959173288,3.6326124354412337,0.8173806906794974,0.495722,[0.418 ~ 0.566],0.228897,final,size50,f regression 
4295,DecisionTree,pKd pKi pIC50,all,2.1218596491228072,6.995008771929824,1.836988474538241,0.142791,[0.046 ~ 0.237],-0.484846,final,size50,f regression 
4296,RandomForest,pKd pKi pIC50,all,1.5311887719298245,3.682668120280702,0.8845157873521671,0.475898,[0.397 ~ 0.548],0.218272,final,size50,f regression 
4297,XGBoost,pKd pKi pIC50,all,1.6775289106201707,4.356317207186949,1.2493051290512085,0.354191,[0.266 ~ 0.437],0.075275,final,size50,f regression 
4298,linearRegression,pKd pKi pIC50,all,143257.95058658105,5848884717352.866,2414200.3113380754,0.079731,[-0.018 ~ 0.176],-1241555949935.7393,GAP,size50,f regression 
4299,Ridge,pKd pKi pIC50,all,1.5751497805397692,4.151091198851968,1.0409801808970995,0.36404,[0.276 ~ 0.446],0.118839,GAP,size50,f regression 
4300,Lasso,pKd pKi pIC50,all,1.5611088968932851,3.830262997180841,0.9088434815798424,0.432965,[0.35 ~ 0.509],0.186941,GAP,size50,f regression 
4301,ElasticNet,pKd pKi pIC50,all,1.5639410564329377,3.8416732334604022,0.8985014945338273,0.430819,[0.348 ~ 0.507],0.184519,GAP,size50,f regression 
4302,SVR,pKd pKi pIC50,all,1.5539238787569714,3.6326245872942486,0.8173858250051211,0.49571,[0.418 ~ 0.566],0.228895,GAP,size50,f regression 
4303,DecisionTree,pKd pKi pIC50,all,2.0297543859649125,6.548715087719298,1.861362001620656,0.20459,[0.109 ~ 0.296],-0.390111,GAP,size50,f regression 
4304,RandomForest,pKd pKi pIC50,all,1.5221284210526316,3.5858464042105256,0.888943765814478,0.500017,[0.423 ~ 0.57],0.238824,GAP,size50,f regression 
4305,XGBoost,pKd pKi pIC50,all,1.6775289106201705,4.356317207186949,1.2493051290512085,0.354191,[0.266 ~ 0.437],0.075275,GAP,size50,f regression 
4306,linearRegression,pKd pKi pIC50,all,3.309951645774632,909.725789755787,29.884392692489623,-0.074292,[-0.171 ~ 0.024],-192.109545,final,size50,r regression 
4307,Ridge,pKd pKi pIC50,all,1.5254220225611197,3.51255021932004,0.9278576496173104,0.518323,[0.443 ~ 0.586],0.254383,final,size50,r regression 
4308,Lasso,pKd pKi pIC50,all,1.5295525904397351,3.5187417927418427,0.8646400798929819,0.517351,[0.442 ~ 0.585],0.253069,final,size50,r regression 
4309,ElasticNet,pKd pKi pIC50,all,1.5269656414334964,3.507807381697193,0.8760466373334176,0.519316,[0.444 ~ 0.587],0.25539,final,size50,r regression 
4310,SVR,pKd pKi pIC50,all,1.5264951847346102,3.548116406875433,0.862787453442192,0.509894,[0.434 ~ 0.579],0.246833,final,size50,r regression 
4311,DecisionTree,pKd pKi pIC50,all,1.7525614035087718,5.015187368421054,1.7694351297412894,0.368343,[0.281 ~ 0.45],-0.064585,final,size50,r regression 
4312,RandomForest,pKd pKi pIC50,all,1.495015438596491,3.4011732094035088,0.9406081760974312,0.539046,[0.466 ~ 0.605],0.278025,final,size50,r regression 
4313,XGBoost,pKd pKi pIC50,all,1.530457628484358,3.628901315131551,1.2986356019973757,0.50126,[0.424 ~ 0.571],0.229685,final,size50,r regression 
4314,linearRegression,pKd pKi pIC50,all,2.5477615688559654,357.0665547167196,18.62944212203978,-0.057716,[-0.154 ~ 0.04],-74.795323,GAP,size50,r regression 
4315,Ridge,pKd pKi pIC50,all,1.4297110494164005,3.17072860051246,1.0129449068329135,0.59852,[0.532 ~ 0.658],0.326942,GAP,size50,r regression 
4316,Lasso,pKd pKi pIC50,all,1.4236600181137515,3.121493706375805,0.9745996421305902,0.609773,[0.545 ~ 0.668],0.337393,GAP,size50,r regression 
4317,ElasticNet,pKd pKi pIC50,all,1.4253948492334347,3.135974626702228,0.9868560361050688,0.606231,[0.541 ~ 0.665],0.33432,GAP,size50,r regression 
4318,SVR,pKd pKi pIC50,all,1.4286680306151438,3.214129225180249,0.9757834621349768,0.580179,[0.512 ~ 0.641],0.31773,GAP,size50,r regression 
4319,DecisionTree,pKd pKi pIC50,all,1.8365964912280697,5.219210877192982,2.0373839145195785,0.413118,[0.329 ~ 0.491],-0.107894,GAP,size50,r regression 
4320,RandomForest,pKd pKi pIC50,all,1.3462224561403509,2.8018264646315783,1.057408524399894,0.659938,[0.601 ~ 0.712],0.40525,GAP,size50,r regression 
4321,XGBoost,pKd pKi pIC50,all,1.4434102509816489,3.228890630006436,1.4242727756500244,0.571442,[0.502 ~ 0.634],0.314596,GAP,size50,r regression 
4322,linearRegression,pKd pKi pIC50,all,1.6038340767736714,3.920585591829097,1.030288090033595,0.416444,[0.332 ~ 0.494],0.167768,final,size50,mutual info regression
4323,Ridge,pKd pKi pIC50,all,1.5923705754723687,3.874399924930252,1.001390548792129,0.426398,[0.343 ~ 0.503],0.177572,final,size50,mutual info regression
4324,Lasso,pKd pKi pIC50,all,1.5948326355980282,3.873746089294397,0.9705017847497226,0.426624,[0.343 ~ 0.503],0.177711,final,size50,mutual info regression
4325,ElasticNet,pKd pKi pIC50,all,1.5948661516829852,3.8741323910644674,0.9692299509432316,0.426464,[0.343 ~ 0.503],0.177629,final,size50,mutual info regression
4326,SVR,pKd pKi pIC50,all,1.565458162358473,3.823045827524426,0.998272001066196,0.434902,[0.352 ~ 0.511],0.188473,final,size50,mutual info regression
4327,DecisionTree,pKd pKi pIC50,all,1.8636140350877195,5.710257192982456,1.872873321477193,0.308714,[0.218 ~ 0.394],-0.212129,final,size50,mutual info regression
4328,RandomForest,pKd pKi pIC50,all,1.4799494736842105,3.350727153473684,1.015088782240061,0.542966,[0.47 ~ 0.608],0.288734,final,size50,mutual info regression
4329,XGBoost,pKd pKi pIC50,all,1.4929598481027704,3.5252422902305667,1.2752751111984253,0.509284,[0.433 ~ 0.578],0.251689,final,size50,mutual info regression
4330,linearRegression,pKd pKi pIC50,all,1.4307633489432192,3.0801068993912755,0.9455557065804006,0.628646,[0.566 ~ 0.684],0.346179,GAP,size50,mutual info regression
4331,Ridge,pKd pKi pIC50,all,1.4302630626925872,3.073964150667438,0.940514785944479,0.630562,[0.568 ~ 0.686],0.347483,GAP,size50,mutual info regression
4332,Lasso,pKd pKi pIC50,all,1.4209711174024195,3.034699082734191,0.9242492676336128,0.64116,[0.58 ~ 0.695],0.355818,GAP,size50,mutual info regression
4333,ElasticNet,pKd pKi pIC50,all,1.4235992408617275,3.0435590583989347,0.9269015046667464,0.63883,[0.577 ~ 0.693],0.353937,GAP,size50,mutual info regression
4334,SVR,pKd pKi pIC50,all,1.394748719456194,3.101175696009053,1.0877336163415563,0.601379,[0.535 ~ 0.66],0.341706,GAP,size50,mutual info regression
4335,DecisionTree,pKd pKi pIC50,all,1.710877192982456,4.546270175438597,1.800252652833787,0.435805,[0.353 ~ 0.512],0.034953,GAP,size50,mutual info regression
4336,RandomForest,pKd pKi pIC50,all,1.2609399999999995,2.493808380666666,1.1317641242929672,0.715154,[0.664 ~ 0.76],0.470634,GAP,size50,mutual info regression
4337,XGBoost,pKd pKi pIC50,all,1.3961395775979026,3.1507261410615,1.445739984512329,0.583378,[0.515 ~ 0.644],0.331188,GAP,size50,mutual info regression
4338,linearRegression,pKd pKi pIC50,all,144195.3110832005,5925675991223.578,2429996.9104106547,0.079731,[-0.018 ~ 0.176],-1257856606827.5637,final,size55,f regression 
4339,Ridge,pKd pKi pIC50,all,1.5739602957217431,4.134368933476457,1.0396804211236266,0.36747,[0.28 ~ 0.449],0.122388,final,size55,f regression 
4340,Lasso,pKd pKi pIC50,all,1.5623941088000497,3.824809991990373,0.893147599910807,0.435174,[0.353 ~ 0.511],0.188099,final,size55,f regression 
4341,ElasticNet,pKd pKi pIC50,all,1.5657251935411485,3.842631952276688,0.8863833318529413,0.431496,[0.349 ~ 0.508],0.184316,final,size55,f regression 
4342,SVR,pKd pKi pIC50,all,1.5542904895526897,3.639028145994807,0.812994524326246,0.494041,[0.416 ~ 0.564],0.227535,final,size55,f regression 
4343,DecisionTree,pKd pKi pIC50,all,2.0876140350877197,6.896850877192982,1.829760759850507,0.15443,[0.058 ~ 0.248],-0.46401,final,size55,f regression 
4344,RandomForest,pKd pKi pIC50,all,1.511184912280702,3.531834408035088,0.8859104210427591,0.51289,[0.437 ~ 0.581],0.25029,final,size55,f regression 
4345,XGBoost,pKd pKi pIC50,all,1.6969683057216176,4.279263951589588,1.2883409261703491,0.379517,[0.293 ~ 0.46],0.091631,final,size55,f regression 
4346,linearRegression,pKd pKi pIC50,all,155632.899607396,6903020428189.987,2622746.6887710625,0.079731,[-0.018 ~ 0.176],-1465319714666.4202,GAP,size55,f regression 
4347,Ridge,pKd pKi pIC50,all,1.570709597046329,4.140032610956304,1.0693214583165402,0.369479,[0.282 ~ 0.451],0.121186,GAP,size55,f regression 
4348,Lasso,pKd pKi pIC50,all,1.5537991545313476,3.782200086184377,0.9133877943193788,0.44508,[0.363 ~ 0.52],0.197144,GAP,size55,f regression 
4349,ElasticNet,pKd pKi pIC50,all,1.5716327447453158,3.851127876736242,0.8738109161298733,0.432522,[0.35 ~ 0.509],0.182512,GAP,size55,f regression 
4350,SVR,pKd pKi pIC50,all,1.5643168491244916,3.649253720501757,0.880641429081328,0.483882,[0.405 ~ 0.555],0.225365,GAP,size55,f regression 
4351,DecisionTree,pKd pKi pIC50,all,1.9141403508771928,6.053074736842106,1.8894274212844568,0.272754,[0.18 ~ 0.361],-0.2849,GAP,size55,f regression 
4352,RandomForest,pKd pKi pIC50,all,1.532042105263158,3.504265723157895,0.9555247931665228,0.514759,[0.439 ~ 0.583],0.256142,GAP,size55,f regression 
4353,XGBoost,pKd pKi pIC50,all,1.588617475275408,3.846277235392813,1.237030863761902,0.447795,[0.366 ~ 0.523],0.183542,GAP,size55,f regression 
4354,linearRegression,pKd pKi pIC50,all,3.333468020282396,901.7732282959446,29.745164657008072,-0.076161,[-0.173 ~ 0.022],-190.421437,final,size55,r regression 
4355,Ridge,pKd pKi pIC50,all,1.536293763507819,3.5546368795732497,0.9316349405053796,0.507456,[0.431 ~ 0.577],0.245449,final,size55,r regression 
4356,Lasso,pKd pKi pIC50,all,1.5310283568057657,3.5371605357434777,0.904523897515612,0.51081,[0.435 ~ 0.58],0.249159,final,size55,r regression 
4357,ElasticNet,pKd pKi pIC50,all,1.532111584753699,3.5386071684262053,0.9155184507547472,0.510604,[0.435 ~ 0.579],0.248852,final,size55,r regression 
