,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
890,Lasso,delta G,all,22785150.848129943,4.18487911283468,-0.514772,[-0.583 ~ -0.439],-23.076904,final size80 f regression
891,ElasticNet,delta G,all,22785763.809431847,4.140032524729186,-0.513366,[-0.582 ~ -0.438],-23.077552,final size80 f regression
892,SVR,delta G,all,22793350.561368663,3.83290978240134,-0.535411,[-0.602 ~ -0.462],-23.085569,final size80 f regression
893,DecisionTree,delta G,all,22793755.469462868,10.490523071127756,-0.267182,[-0.356 ~ -0.174],-23.085997,final size80 f regression
894,RandomForest,delta G,all,22790034.20443547,5.062723497946111,-0.617429,[-0.674 ~ -0.553],-23.082065,final size80 f regression
895,XGBoost,delta G,all,22782689.750590924,6.821511268615723,-0.482666,[-0.554 ~ -0.404],-23.074304,final size80 f regression
896,linearRegression,delta G,all,22802989.864835493,45.077983322337886,0.056835,[-0.041 ~ 0.154],-23.095755,GAP size80 f regression
897,Ridge,delta G,all,22785904.370407335,5.050157104792398,-0.404206,[-0.483 ~ -0.319],-23.077701,GAP size80 f regression
898,Lasso,delta G,all,22787208.294156317,4.274013855103873,-0.498099,[-0.568 ~ -0.421],-23.079078,GAP size80 f regression
899,ElasticNet,delta G,all,22788776.100066803,4.117185449437363,-0.499626,[-0.569 ~ -0.423],-23.080735,GAP size80 f regression
900,SVR,delta G,all,22793273.092431292,3.8606400980604954,-0.541646,[-0.607 ~ -0.469],-23.085487,GAP size80 f regression
901,DecisionTree,delta G,all,22781321.941955138,10.372807594308366,-0.351382,[-0.434 ~ -0.263],-23.072858,GAP size80 f regression
902,RandomForest,delta G,all,22790663.096352056,4.86941067482234,-0.60835,[-0.666 ~ -0.543],-23.082729,GAP size80 f regression
903,XGBoost,delta G,all,22787150.86485031,6.511831760406494,-0.457516,[-0.531 ~ -0.377],-23.079018,GAP size80 f regression
904,linearRegression,delta G,all,22785991.893706277,4.313639323537908,-0.480279,[-0.552 ~ -0.401],-23.077793,final size80 r regression
905,Ridge,delta G,all,22786083.351362232,4.151986462888671,-0.501507,[-0.571 ~ -0.425],-23.07789,final size80 r regression
906,Lasso,delta G,all,22786878.177617818,3.808289254043135,-0.565074,[-0.628 ~ -0.495],-23.07873,final size80 r regression
907,ElasticNet,delta G,all,22786968.578429557,3.7679768454828126,-0.554943,[-0.619 ~ -0.484],-23.078825,final size80 r regression
908,SVR,delta G,all,22788769.90363984,3.575537165867239,-0.536562,[-0.603 ~ -0.463],-23.080729,final size80 r regression
909,DecisionTree,delta G,all,22789059.724121384,10.157141847552358,-0.305368,[-0.391 ~ -0.214],-23.081035,final size80 r regression
910,RandomForest,delta G,all,22783589.578790925,5.325421542324247,-0.649091,[-0.702 ~ -0.589],-23.075255,final size80 r regression
911,XGBoost,delta G,all,22785763.07851711,7.146978855133057,-0.534161,[-0.6 ~ -0.461],-23.077551,final size80 r regression
912,linearRegression,delta G,all,22784055.88143855,4.817375288199533,-0.338503,[-0.422 ~ -0.249],-23.075747,GAP size80 r regression
913,Ridge,delta G,all,22784137.129199475,4.553462338199494,-0.363107,[-0.445 ~ -0.275],-23.075833,GAP size80 r regression
914,Lasso,delta G,all,22785422.236042377,3.8111101147881286,-0.45571,[-0.53 ~ -0.375],-23.077191,GAP size80 r regression
915,ElasticNet,delta G,all,22784571.991249766,3.7820649522442853,-0.450355,[-0.525 ~ -0.369],-23.076293,GAP size80 r regression
916,SVR,delta G,all,22785901.92102806,3.4908790584661604,-0.425444,[-0.502 ~ -0.342],-23.077698,GAP size80 r regression
917,DecisionTree,delta G,all,22789293.216350093,10.176567262818924,-0.415611,[-0.493 ~ -0.331],-23.081282,GAP size80 r regression
918,RandomForest,delta G,all,22785607.98069653,4.892487611484865,-0.618996,[-0.676 ~ -0.555],-23.077387,GAP size80 r regression
919,XGBoost,delta G,all,22788248.308139406,7.105362415313721,-0.387439,[-0.467 ~ -0.301],-23.080177,GAP size80 r regression
920,linearRegression,delta G,all,22816108.209875096,80.83423418407888,0.07304,[-0.025 ~ 0.169],-23.109617,final size80 mutual info regression
921,Ridge,delta G,all,22781123.90885382,4.388297450158381,-0.544114,[-0.609 ~ -0.472],-23.072649,final size80 mutual info regression
922,Lasso,delta G,all,22781954.58969254,4.107171948899729,-0.595323,[-0.655 ~ -0.528],-23.073527,final size80 mutual info regression
923,ElasticNet,delta G,all,22783142.983897272,4.119053765252216,-0.572542,[-0.635 ~ -0.503],-23.074783,final size80 mutual info regression
924,SVR,delta G,all,22786411.336859453,3.899165022967943,-0.555711,[-0.62 ~ -0.484],-23.078236,final size80 mutual info regression
925,DecisionTree,delta G,all,22776093.371654328,9.743663312982154,-0.277131,[-0.365 ~ -0.184],-23.067333,final size80 mutual info regression
926,RandomForest,delta G,all,22782647.571961258,5.069589852674269,-0.631836,[-0.687 ~ -0.569],-23.074259,final size80 mutual info regression
927,XGBoost,delta G,all,22779467.004413616,7.70652961730957,-0.520729,[-0.588 ~ -0.446],-23.070898,final size80 mutual info regression
928,linearRegression,delta G,all,22782777.702149138,4.689789981162261,-0.471253,[-0.544 ~ -0.392],-23.074397,GAP size80 mutual info regression
929,Ridge,delta G,all,22782836.55266272,4.503818010811755,-0.498253,[-0.568 ~ -0.421],-23.074459,GAP size80 mutual info regression
930,Lasso,delta G,all,22782715.781769034,4.054435729424274,-0.597912,[-0.657 ~ -0.531],-23.074331,GAP size80 mutual info regression
931,ElasticNet,delta G,all,22783165.3006119,4.081749883950684,-0.578086,[-0.64 ~ -0.509],-23.074806,GAP size80 mutual info regression
932,SVR,delta G,all,22784284.811983705,4.382933436309348,-0.617648,[-0.675 ~ -0.553],-23.075989,GAP size80 mutual info regression
933,DecisionTree,delta G,all,22792266.05173231,10.293337248488303,-0.352638,[-0.435 ~ -0.264],-23.084423,GAP size80 mutual info regression
934,RandomForest,delta G,all,22783619.562006924,5.366518831613684,-0.656898,[-0.709 ~ -0.598],-23.075286,GAP size80 mutual info regression
935,XGBoost,delta G,all,22783004.3964044,7.145365238189697,-0.555053,[-0.619 ~ -0.484],-23.074636,GAP size80 mutual info regression
936,linearRegression,delta G,all,22791027.84668537,19.553392163072083,-0.010906,[-0.108 ~ 0.087],-23.083115,final size85 f regression
937,Ridge,delta G,all,22784266.932610456,4.992912331154614,-0.43081,[-0.507 ~ -0.348],-23.07597,final size85 f regression
938,Lasso,delta G,all,22785605.387316246,4.162571056421326,-0.522616,[-0.59 ~ -0.448],-23.077385,final size85 f regression
939,ElasticNet,delta G,all,22786436.790083535,4.107805513046516,-0.521265,[-0.589 ~ -0.446],-23.078263,final size85 f regression
940,SVR,delta G,all,22792813.07744142,3.8390344108659185,-0.529665,[-0.596 ~ -0.456],-23.085001,final size85 f regression
941,DecisionTree,delta G,all,22784834.75559782,9.786797226384007,-0.170332,[-0.264 ~ -0.074],-23.07657,final size85 f regression
942,RandomForest,delta G,all,22788689.578346338,4.863101851072091,-0.612592,[-0.67 ~ -0.548],-23.080644,final size85 f regression
943,XGBoost,delta G,all,22780979.425073292,7.252560615539551,-0.495655,[-0.566 ~ -0.418],-23.072496,final size85 f regression
944,linearRegression,delta G,all,22800521.677730735,40.73045130562295,0.049325,[-0.049 ~ 0.146],-23.093147,GAP size85 f regression
945,Ridge,delta G,all,22785310.188236784,5.116565168807866,-0.418887,[-0.496 ~ -0.335],-23.077073,GAP size85 f regression
946,Lasso,delta G,all,22787800.13383081,4.184399443514638,-0.519232,[-0.587 ~ -0.444],-23.079704,GAP size85 f regression
947,ElasticNet,delta G,all,22788814.160150446,4.112158595647422,-0.514567,[-0.583 ~ -0.439],-23.080775,GAP size85 f regression
948,SVR,delta G,all,22792520.657702133,3.921263804249962,-0.533389,[-0.6 ~ -0.46],-23.084692,GAP size85 f regression
949,DecisionTree,delta G,all,22779923.80195876,10.417418302530141,-0.433633,[-0.51 ~ -0.351],-23.071381,GAP size85 f regression
950,RandomForest,delta G,all,22789134.539220884,4.837287855728239,-0.621415,[-0.678 ~ -0.558],-23.081114,GAP size85 f regression
951,XGBoost,delta G,all,22784486.001138777,7.168041706085205,-0.517314,[-0.585 ~ -0.442],-23.076202,GAP size85 f regression
952,linearRegression,delta G,all,22787046.103271663,4.47312804693821,-0.460681,[-0.534 ~ -0.38],-23.078907,final size85 r regression
953,Ridge,delta G,all,22787165.990208063,4.270596137379067,-0.485558,[-0.557 ~ -0.407],-23.079034,final size85 r regression
954,Lasso,delta G,all,22788847.724207394,3.827561098041249,-0.554395,[-0.619 ~ -0.483],-23.080811,final size85 r regression
955,ElasticNet,delta G,all,22788732.53964838,3.7280981928883636,-0.537663,[-0.604 ~ -0.464],-23.080689,final size85 r regression
956,SVR,delta G,all,22789403.964247786,3.651328514550865,-0.52982,[-0.597 ~ -0.456],-23.081399,final size85 r regression
957,DecisionTree,delta G,all,22791695.777922936,9.79428753835373,-0.393706,[-0.473 ~ -0.308],-23.08382,final size85 r regression
958,RandomForest,delta G,all,22782754.42642446,5.383187366524971,-0.654032,[-0.707 ~ -0.594],-23.074372,final size85 r regression
959,XGBoost,delta G,all,22785497.38497,7.241661071777344,-0.512693,[-0.581 ~ -0.437],-23.077271,final size85 r regression
960,linearRegression,delta G,all,22785896.510878265,4.619558623073132,-0.497075,[-0.567 ~ -0.42],-23.077692,GAP size85 r regression
961,Ridge,delta G,all,22786091.66521765,4.46011916699468,-0.517466,[-0.586 ~ -0.442],-23.077899,GAP size85 r regression
962,Lasso,delta G,all,22786613.70988513,4.11620632483132,-0.57405,[-0.636 ~ -0.505],-23.07845,GAP size85 r regression
963,ElasticNet,delta G,all,22787097.691323712,4.019505707236535,-0.563908,[-0.627 ~ -0.493],-23.078962,GAP size85 r regression
964,SVR,delta G,all,22786663.132423133,3.8931396721568348,-0.565885,[-0.629 ~ -0.496],-23.078502,GAP size85 r regression
965,DecisionTree,delta G,all,22785530.16506936,10.611780721366404,-0.410894,[-0.489 ~ -0.326],-23.077305,GAP size85 r regression
966,RandomForest,delta G,all,22787051.828572933,5.4854518501420335,-0.679958,[-0.729 ~ -0.624],-23.078913,GAP size85 r regression
967,XGBoost,delta G,all,22795058.475961223,6.962462425231934,-0.54569,[-0.611 ~ -0.473],-23.087374,GAP size85 r regression
968,linearRegression,delta G,all,22780077.006303538,4.106628225392558,-0.577817,[-0.639 ~ -0.509],-23.071543,final size85 mutual info regression
969,Ridge,delta G,all,22779942.586945612,4.113107514139329,-0.581966,[-0.643 ~ -0.514],-23.071401,final size85 mutual info regression
970,Lasso,delta G,all,22781153.6745258,4.020394598692767,-0.614784,[-0.672 ~ -0.55],-23.072681,final size85 mutual info regression
971,ElasticNet,delta G,all,22781948.39508542,3.978065129711394,-0.598125,[-0.657 ~ -0.532],-23.07352,final size85 mutual info regression
972,SVR,delta G,all,22787152.40178572,3.984002660617265,-0.550561,[-0.615 ~ -0.479],-23.079019,final size85 mutual info regression
973,DecisionTree,delta G,all,22782530.137196615,9.980753513979277,-0.300168,[-0.386 ~ -0.209],-23.074135,final size85 mutual info regression
974,RandomForest,delta G,all,22782888.608226404,5.220991637672574,-0.602938,[-0.662 ~ -0.537],-23.074514,final size85 mutual info regression
975,XGBoost,delta G,all,22783166.203432854,7.545158863067627,-0.55188,[-0.616 ~ -0.48],-23.074807,final size85 mutual info regression
976,linearRegression,delta G,all,22814850.20471911,57.92260906831006,0.086978,[-0.011 ~ 0.183],-23.108287,GAP size85 mutual info regression
977,Ridge,delta G,all,22783398.777247183,4.838185991174169,-0.497745,[-0.568 ~ -0.421],-23.075053,GAP size85 mutual info regression
978,Lasso,delta G,all,22783999.20554568,4.696266757458796,-0.515315,[-0.584 ~ -0.44],-23.075687,GAP size85 mutual info regression
979,ElasticNet,delta G,all,22784861.544553895,4.711813001957831,-0.503459,[-0.573 ~ -0.427],-23.076599,GAP size85 mutual info regression
980,SVR,delta G,all,22786025.59558641,4.318579206197071,-0.582484,[-0.644 ~ -0.514],-23.077829,GAP size85 mutual info regression
981,DecisionTree,delta G,all,22791739.765818253,10.164384481456892,-0.318874,[-0.404 ~ -0.228],-23.083867,GAP size85 mutual info regression
982,RandomForest,delta G,all,22786659.473121602,5.376375158183538,-0.648104,[-0.701 ~ -0.588],-23.078499,GAP size85 mutual info regression
983,XGBoost,delta G,all,22783527.010076802,7.586590766906738,-0.579657,[-0.641 ~ -0.511],-23.075188,GAP size85 mutual info regression
984,linearRegression,delta G,all,22804099.757997833,46.296800689064014,0.05429,[-0.044 ~ 0.151],-23.096928,final size90 f regression
985,Ridge,delta G,all,22786068.9588637,5.075980503172331,-0.437833,[-0.514 ~ -0.355],-23.077875,final size90 f regression
986,Lasso,delta G,all,22788418.08648353,4.189603925892603,-0.523898,[-0.591 ~ -0.449],-23.080357,final size90 f regression
987,ElasticNet,delta G,all,22788165.95647733,4.255326623973663,-0.525415,[-0.593 ~ -0.451],-23.08009,final size90 f regression
988,SVR,delta G,all,22794347.40535554,3.831726023774538,-0.50996,[-0.579 ~ -0.434],-23.086622,final size90 f regression
989,DecisionTree,delta G,all,22782308.68921949,9.405245572409365,-0.183413,[-0.276 ~ -0.087],-23.073901,final size90 f regression
990,RandomForest,delta G,all,22789740.77083169,4.7826057395883526,-0.631654,[-0.687 ~ -0.569],-23.081755,final size90 f regression
991,XGBoost,delta G,all,22786300.433411818,7.178250789642334,-0.532382,[-0.599 ~ -0.459],-23.078119,final size90 f regression
992,linearRegression,delta G,all,22805125.879823335,49.30259684431233,0.057685,[-0.04 ~ 0.154],-23.098012,GAP size90 f regression
993,Ridge,delta G,all,22786189.249708917,5.134119651848805,-0.42674,[-0.503 ~ -0.343],-23.078002,GAP size90 f regression
994,Lasso,delta G,all,22789824.256517794,4.142286930264007,-0.532058,[-0.599 ~ -0.458],-23.081843,GAP size90 f regression
995,ElasticNet,delta G,all,22792269.192313384,3.947796006166314,-0.514492,[-0.583 ~ -0.439],-23.084426,GAP size90 f regression
996,SVR,delta G,all,22793554.177280553,3.9395515392872174,-0.520277,[-0.588 ~ -0.445],-23.085784,GAP size90 f regression
997,DecisionTree,delta G,all,22782016.81807277,10.41178402677886,-0.334389,[-0.418 ~ -0.245],-23.073593,GAP size90 f regression
998,RandomForest,delta G,all,22792169.5363046,4.8566087786243255,-0.643182,[-0.697 ~ -0.582],-23.084321,GAP size90 f regression
999,XGBoost,delta G,all,22780433.663694616,6.698670864105225,-0.494737,[-0.565 ~ -0.417],-23.07192,GAP size90 f regression
1000,linearRegression,delta G,all,22782437.384119943,4.516516559804814,-0.492331,[-0.563 ~ -0.415],-23.074037,final size90 r regression
1001,Ridge,delta G,all,22782512.775210023,4.338256826015176,-0.517697,[-0.586 ~ -0.442],-23.074117,final size90 r regression
1002,Lasso,delta G,all,22782813.347373452,3.9498628178156494,-0.593818,[-0.654 ~ -0.527],-23.074434,final size90 r regression
1003,ElasticNet,delta G,all,22782959.679845884,3.909213020735007,-0.586558,[-0.647 ~ -0.519],-23.074589,final size90 r regression
1004,SVR,delta G,all,22784611.828631733,3.642486969143817,-0.579429,[-0.641 ~ -0.511],-23.076335,final size90 r regression
1005,DecisionTree,delta G,all,22780380.319351144,10.08505429168832,-0.264855,[-0.353 ~ -0.172],-23.071863,final size90 r regression
1006,RandomForest,delta G,all,22784487.21164999,5.2130978573241356,-0.660888,[-0.713 ~ -0.602],-23.076203,final size90 r regression
1007,XGBoost,delta G,all,22785121.973417353,7.421342372894287,-0.514297,[-0.583 ~ -0.439],-23.076874,final size90 r regression
1008,linearRegression,delta G,all,22784204.674505845,4.801277696722975,-0.49036,[-0.561 ~ -0.412],-23.075905,GAP size90 r regression
1009,Ridge,delta G,all,22784239.87775186,4.60089618876731,-0.517152,[-0.585 ~ -0.442],-23.075942,GAP size90 r regression
1010,Lasso,delta G,all,22785141.63059319,4.144514418086503,-0.591408,[-0.651 ~ -0.524],-23.076895,GAP size90 r regression
1011,ElasticNet,delta G,all,22784693.30533481,4.111810431147003,-0.587328,[-0.648 ~ -0.519],-23.076421,GAP size90 r regression
1012,SVR,delta G,all,22781807.943953864,4.037553393208683,-0.6107,[-0.668 ~ -0.546],-23.073372,GAP size90 r regression
1013,DecisionTree,delta G,all,22788728.335518338,10.491791347254425,-0.376214,[-0.457 ~ -0.289],-23.080685,GAP size90 r regression
1014,RandomForest,delta G,all,22785670.001337744,5.346042175290592,-0.653722,[-0.706 ~ -0.594],-23.077453,GAP size90 r regression
1015,XGBoost,delta G,all,22794483.58283967,7.081838607788086,-0.527011,[-0.594 ~ -0.453],-23.086766,GAP size90 r regression
1016,linearRegression,delta G,all,22780396.46855157,4.435248975268186,-0.503694,[-0.573 ~ -0.427],-23.07188,final size90 mutual info regression
1017,Ridge,delta G,all,22780454.35528366,4.417981057004365,-0.505215,[-0.575 ~ -0.429],-23.071942,final size90 mutual info regression
1018,Lasso,delta G,all,22782429.28624175,4.08692791812661,-0.551751,[-0.616 ~ -0.48],-23.074029,final size90 mutual info regression
1019,ElasticNet,delta G,all,22783359.047023788,4.088899723618998,-0.523163,[-0.591 ~ -0.448],-23.075011,final size90 mutual info regression
1020,SVR,delta G,all,22786955.993824832,3.9129101377096838,-0.583116,[-0.644 ~ -0.515],-23.078812,final size90 mutual info regression
1021,DecisionTree,delta G,all,22776048.30988873,9.424626838888228,-0.306883,[-0.393 ~ -0.216],-23.067286,final size90 mutual info regression
1022,RandomForest,delta G,all,22782830.619907912,5.109894437689416,-0.618912,[-0.676 ~ -0.555],-23.074453,final size90 mutual info regression
1023,XGBoost,delta G,all,22783529.316558268,7.4392290115356445,-0.567447,[-0.63 ~ -0.497],-23.075191,final size90 mutual info regression
1024,linearRegression,delta G,all,22779968.708867993,4.920113196238607,-0.512952,[-0.581 ~ -0.437],-23.071428,GAP size90 mutual info regression
1025,Ridge,delta G,all,22780033.71402574,4.886102154533821,-0.510193,[-0.579 ~ -0.434],-23.071497,GAP size90 mutual info regression
1026,Lasso,delta G,all,22782320.733562585,4.592873575945615,-0.536065,[-0.602 ~ -0.463],-23.073914,GAP size90 mutual info regression
1027,ElasticNet,delta G,all,22782000.217878863,4.719442762960202,-0.517816,[-0.586 ~ -0.443],-23.073575,GAP size90 mutual info regression
1028,SVR,delta G,all,22787376.012113653,4.222798156716514,-0.596236,[-0.656 ~ -0.529],-23.079256,GAP size90 mutual info regression
1029,DecisionTree,delta G,all,22780386.980153292,9.73531991999864,-0.314821,[-0.4 ~ -0.224],-23.07187,GAP size90 mutual info regression
1030,RandomForest,delta G,all,22783886.154021237,5.213525792435287,-0.660575,[-0.712 ~ -0.602],-23.075568,GAP size90 mutual info regression
1031,XGBoost,delta G,all,22775940.856138773,7.814992427825928,-0.542415,[-0.608 ~ -0.47],-23.067172,GAP size90 mutual info regression
1032,linearRegression,delta G,all,22802687.42981034,42.745216699328516,0.050998,[-0.047 ~ 0.148],-23.095435,final size95 f regression
1033,Ridge,delta G,all,22786530.04260897,5.18350468218509,-0.423177,[-0.5 ~ -0.34],-23.078362,final size95 f regression
1034,Lasso,delta G,all,22788836.158938605,4.210413701215535,-0.514822,[-0.583 ~ -0.439],-23.080799,final size95 f regression
1035,ElasticNet,delta G,all,22788274.57210355,4.304006614778662,-0.51728,[-0.585 ~ -0.442],-23.080205,final size95 f regression
1036,SVR,delta G,all,22794660.93886545,3.8116762075668453,-0.503393,[-0.573 ~ -0.427],-23.086954,final size95 f regression
1037,DecisionTree,delta G,all,22781872.415699124,9.97577956703956,-0.178364,[-0.271 ~ -0.082],-23.07344,final size95 f regression
1038,RandomForest,delta G,all,22790735.17525622,4.662995685776609,-0.598146,[-0.657 ~ -0.532],-23.082805,final size95 f regression
1039,XGBoost,delta G,all,22787309.26677874,6.852627277374268,-0.510158,[-0.579 ~ -0.434],-23.079185,final size95 f regression
1040,linearRegression,delta G,all,22816210.421502665,70.65186980750204,0.069475,[-0.028 ~ 0.166],-23.109725,GAP size95 f regression
1041,Ridge,delta G,all,22787376.404390115,5.3647180321755314,-0.432972,[-0.509 ~ -0.35],-23.079256,GAP size95 f regression
1042,Lasso,delta G,all,22788655.536572948,4.570517564434362,-0.526635,[-0.594 ~ -0.452],-23.080608,GAP size95 f regression
1043,ElasticNet,delta G,all,22790759.01412051,4.369521400513128,-0.527193,[-0.594 ~ -0.453],-23.082831,GAP size95 f regression
1044,SVR,delta G,all,22793625.415927745,3.9337919609256033,-0.509489,[-0.578 ~ -0.433],-23.085859,GAP size95 f regression
1045,DecisionTree,delta G,all,22780975.569678556,10.628166944129584,-0.414224,[-0.492 ~ -0.33],-23.072492,GAP size95 f regression
1046,RandomForest,delta G,all,22790987.594477933,4.799192058469507,-0.639299,[-0.694 ~ -0.578],-23.083072,GAP size95 f regression
1047,XGBoost,delta G,all,22783131.979238804,6.693854808807373,-0.508588,[-0.578 ~ -0.432],-23.074771,GAP size95 f regression
1048,linearRegression,delta G,all,22783619.33441535,4.548482624085399,-0.489968,[-0.561 ~ -0.412],-23.075286,final size95 r regression
1049,Ridge,delta G,all,22782617.579892173,4.3287533739161965,-0.517799,[-0.586 ~ -0.443],-23.074228,final size95 r regression
1050,Lasso,delta G,all,22782822.718324423,3.95169947855861,-0.593521,[-0.653 ~ -0.526],-23.074444,final size95 r regression
1051,ElasticNet,delta G,all,22783036.500074327,3.902223439133355,-0.585115,[-0.646 ~ -0.517],-23.07467,final size95 r regression
1052,SVR,delta G,all,22784737.93207357,3.6175990604548116,-0.577576,[-0.639 ~ -0.509],-23.076468,final size95 r regression
1053,DecisionTree,delta G,all,22781855.765738398,9.985820590331517,-0.325191,[-0.41 ~ -0.235],-23.073423,final size95 r regression
1054,RandomForest,delta G,all,22783092.37572915,5.18926181489221,-0.645391,[-0.699 ~ -0.585],-23.074729,final size95 r regression
1055,XGBoost,delta G,all,22786384.724735573,7.748090744018555,-0.518635,[-0.587 ~ -0.443],-23.078208,final size95 r regression
1056,linearRegression,delta G,all,22784356.78865667,4.772825331700636,-0.490147,[-0.561 ~ -0.412],-23.076065,GAP size95 r regression
1057,Ridge,delta G,all,22783952.888528556,4.618269314462594,-0.514966,[-0.583 ~ -0.439],-23.075639,GAP size95 r regression
1058,Lasso,delta G,all,22784652.10777633,4.21701316326871,-0.584167,[-0.645 ~ -0.516],-23.076377,GAP size95 r regression
1059,ElasticNet,delta G,all,22784338.295216177,4.169873856174743,-0.578752,[-0.64 ~ -0.51],-23.076046,GAP size95 r regression
1060,SVR,delta G,all,22782648.21063256,3.909153525739569,-0.600545,[-0.66 ~ -0.534],-23.07426,GAP size95 r regression
1061,DecisionTree,delta G,all,22791414.304754704,10.327043600120241,-0.391737,[-0.471 ~ -0.306],-23.083523,GAP size95 r regression
1062,RandomForest,delta G,all,22786122.23006415,5.298675604749276,-0.670249,[-0.721 ~ -0.613],-23.077931,GAP size95 r regression
1063,XGBoost,delta G,all,22791406.5633041,7.049829959869385,-0.580273,[-0.642 ~ -0.512],-23.083515,GAP size95 r regression
1064,linearRegression,delta G,all,22774885.59137031,4.645207072079829,-0.574865,[-0.637 ~ -0.506],-23.066057,final size95 mutual info regression
1065,Ridge,delta G,all,22775572.793706313,4.581645399948919,-0.580136,[-0.641 ~ -0.511],-23.066783,final size95 mutual info regression
1066,Lasso,delta G,all,22777341.142699223,4.339497889673326,-0.600083,[-0.659 ~ -0.534],-23.068652,final size95 mutual info regression
1067,ElasticNet,delta G,all,22778859.298437472,4.191410779225073,-0.604732,[-0.663 ~ -0.539],-23.070256,final size95 mutual info regression
1068,SVR,delta G,all,22784632.19861282,4.029763880828152,-0.58414,[-0.645 ~ -0.516],-23.076356,final size95 mutual info regression
1069,DecisionTree,delta G,all,22785587.944029402,9.62910681599141,-0.287883,[-0.375 ~ -0.196],-23.077366,final size95 mutual info regression
1070,RandomForest,delta G,all,22782399.33211601,5.424100678442526,-0.63607,[-0.691 ~ -0.574],-23.073997,final size95 mutual info regression
1071,XGBoost,delta G,all,22779911.93827051,7.546317100524902,-0.572846,[-0.635 ~ -0.503],-23.071368,final size95 mutual info regression
1072,linearRegression,delta G,all,22786952.601650663,4.430986781075942,-0.547269,[-0.612 ~ -0.475],-23.078808,GAP size95 mutual info regression
1073,Ridge,delta G,all,22786843.955272675,4.43646901759031,-0.551439,[-0.616 ~ -0.48],-23.078693,GAP size95 mutual info regression
1074,Lasso,delta G,all,22787661.31135302,4.333334146551739,-0.556903,[-0.621 ~ -0.486],-23.079557,GAP size95 mutual info regression
1075,ElasticNet,delta G,all,22787823.118942086,4.335616881003214,-0.553074,[-0.617 ~ -0.481],-23.079728,GAP size95 mutual info regression
1076,SVR,delta G,all,22787124.008081604,4.170352727877223,-0.54926,[-0.614 ~ -0.477],-23.078989,GAP size95 mutual info regression
1077,DecisionTree,delta G,all,22789001.743359473,9.77785033673884,-0.271822,[-0.36 ~ -0.179],-23.080974,GAP size95 mutual info regression
1078,RandomForest,delta G,all,22786257.44817161,5.0812089703986905,-0.65104,[-0.704 ~ -0.591],-23.078074,GAP size95 mutual info regression
1079,XGBoost,delta G,all,22781876.138929155,7.721487522125244,-0.522515,[-0.59 ~ -0.448],-23.073444,GAP size95 mutual info regression
1080,linearRegression,delta G,all,31977025272506.113,5644696.478788776,0.083708,[-0.014 ~ 0.18],-33789890.738047,final size100 f regression
1081,Ridge,delta G,all,22784097.624837503,5.265491835389447,-0.419656,[-0.497 ~ -0.336],-23.075791,final size100 f regression
1082,Lasso,delta G,all,22786262.51612215,4.365095993060533,-0.516866,[-0.585 ~ -0.442],-23.078079,final size100 f regression
1083,ElasticNet,delta G,all,22786774.902218662,4.329580229778581,-0.51442,[-0.583 ~ -0.439],-23.078621,final size100 f regression
1084,SVR,delta G,all,22792063.063586187,3.8768208349553976,-0.499585,[-0.569 ~ -0.423],-23.084208,final size100 f regression
1085,DecisionTree,delta G,all,22781553.286437813,9.88788325680011,-0.303774,[-0.39 ~ -0.212],-23.073103,final size100 f regression
1086,RandomForest,delta G,all,22789220.991545275,4.9218934694706045,-0.574032,[-0.636 ~ -0.505],-23.081205,final size100 f regression
1087,XGBoost,delta G,all,22782351.952802368,6.889479637145996,-0.539507,[-0.605 ~ -0.466],-23.073947,final size100 f regression
1088,linearRegression,delta G,all,62105055281071.0,7866641.314087816,0.083709,[-0.014 ~ 0.18],-65625962.530044,GAP size100 f regression
1089,Ridge,delta G,all,22786922.99281418,5.494965568400568,-0.420642,[-0.498 ~ -0.337],-23.078777,GAP size100 f regression
1090,Lasso,delta G,all,22789438.789381582,4.499588711210256,-0.524512,[-0.592 ~ -0.45],-23.081435,GAP size100 f regression
1091,ElasticNet,delta G,all,22790396.847454417,4.412929558048386,-0.520071,[-0.588 ~ -0.445],-23.082448,GAP size100 f regression
1092,SVR,delta G,all,22792204.027610928,3.965296797100932,-0.504079,[-0.573 ~ -0.427],-23.084357,GAP size100 f regression
1093,DecisionTree,delta G,all,22786664.906621214,10.048472920538824,-0.282674,[-0.37 ~ -0.19],-23.078504,GAP size100 f regression
1094,RandomForest,delta G,all,22790258.14855274,4.904364465774205,-0.585961,[-0.647 ~ -0.518],-23.082301,GAP size100 f regression
1095,XGBoost,delta G,all,22786193.142030455,7.185042381286621,-0.487439,[-0.558 ~ -0.409],-23.078006,GAP size100 f regression
1096,linearRegression,delta G,all,22784375.73850369,4.570129221366357,-0.465158,[-0.538 ~ -0.385],-23.076085,final size100 r regression
1097,Ridge,delta G,all,22782995.975029558,4.333356994980534,-0.520487,[-0.588 ~ -0.445],-23.074627,final size100 r regression
1098,Lasso,delta G,all,22783346.573138487,3.9225784506609442,-0.589069,[-0.649 ~ -0.521],-23.074998,final size100 r regression
1099,ElasticNet,delta G,all,22783641.870294344,3.8194031897252843,-0.57742,[-0.639 ~ -0.508],-23.07531,final size100 r regression
