,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information,Time
178,ElasticNet,Affinity Data Value,ki,1100677402086.2498,19201.420855002038,0.34559199999999995,[0.257 ~ 0.429],-0.03625,slim,0.0016001224517822265
179,ElasticNet,pKd pKi pIC50,ki,2.7990499676208542,1.186059823157807,0.645398,[0.585 ~ 0.699],0.40583899999999995,slim,0.0015118837356567383
180,SVR,delta G,ki,22804788.877022915,5.2307621132512,-0.6550320000000001,[-0.707 ~ -0.595],-23.097656,slim,0.05159199237823486
181,SVR,Affinity Data Value,ki,1131754843093.027,54.83510601307991,0.35707399999999995,[0.269 ~ 0.439],-0.065508,slim,0.05134298801422119
182,SVR,pKd pKi pIC50,ki,2.7078722778306377,1.2163830504858593,0.6655160000000001,[0.607 ~ 0.717],0.42519399999999996,slim,0.048691201210021975
183,DecisionTree,delta G,ki,22807696.55772433,9.95588945557289,-0.37509099999999995,[-0.456 ~ -0.288],-23.100728,slim,0.0017652511596679688
184,DecisionTree,Affinity Data Value,ki,1118449874691.1516,199736.59882264654,0.06843599999999998,[-0.029 ~ 0.165],-0.05298199999999999,slim,0.0017699480056762695
185,DecisionTree,pKd pKi pIC50,ki,3.8192477192982457,1.7551198605332945,0.5227380000000001,[0.448 ~ 0.59],0.18928000000000003,slim,0.0017676591873168946
186,RandomForest,delta G,ki,22800084.271855682,5.804323235264881,-0.6666039999999999,[-0.718 ~ -0.609],-23.092683999999995,slim,0.04459559917449951
187,RandomForest,Affinity Data Value,ki,1071362018417.6176,119958.73876283877,0.200998,[0.105 ~ 0.293],-0.008650000000000001,slim,0.0453122615814209
188,RandomForest,pKd pKi pIC50,ki,2.5704234811228077,1.1881906549121484,0.696721,[0.643 ~ 0.744],0.45437000000000005,slim,0.04444906711578369
189,XGBoost,delta G,ki,22800268.886808667,7.703696775436401,-0.5991299999999999,[-0.658 ~ -0.533],-23.092880000000005,slim,0.012800812721252441
190,XGBoost,Affinity Data Value,ki,1094397536377.176,99133.265625,0.142682,[0.046 ~ 0.237],-0.030337999999999997,slim,0.012719106674194337
191,XGBoost,pKd pKi pIC50,ki,2.7748248209550015,1.4493587017059326,0.6424120000000001,[0.581 ~ 0.696],0.41098200000000007,slim,0.013140082359313965
192,linearRegression,delta G,kd,22768840.18077228,4.093531217260086,-0.5738649999999998,[-0.636 ~ -0.504],-23.059668999999996,slim,0.0014005422592163086
193,linearRegression,Affinity Data Value,kd,1086920517326.6956,47335.7900482116,0.2607149999999999,[0.167 ~ 0.349],-0.023297999999999996,slim,0.0015607833862304687
194,linearRegression,pKd pKi pIC50,kd,3.2900494624316776,0.9217219894149385,0.6213040000000001,[0.557 ~ 0.678],0.30161399999999994,slim,0.0014687776565551758
195,Ridge,delta G,kd,22770506.734504722,3.8665878624217314,-0.5885939999999998,[-0.649 ~ -0.521],-23.06143,slim,0.0013954639434814453
196,Ridge,Affinity Data Value,kd,1086352232905.5267,46350.85723314235,0.26705399999999996,[0.174 ~ 0.355],-0.022763000000000002,slim,0.0015332937240600587
197,Ridge,pKd pKi pIC50,kd,3.2829418662274668,0.9147814740789901,0.6232350000000001,[0.56 ~ 0.68],0.3031229999999999,slim,0.0014533519744873047
198,Lasso,delta G,kd,22770231.81136063,3.8874757563669755,-0.5891510000000001,[-0.649 ~ -0.522],-23.061139999999998,slim,0.001479768753051758
199,Lasso,Affinity Data Value,kd,1084703101395.6423,43078.34136334744,0.29097900000000004,[0.199 ~ 0.378],-0.021211000000000004,slim,0.0015061140060424806
200,Lasso,pKd pKi pIC50,kd,3.259401796683931,0.8902101824316773,0.6302199999999999,[0.568 ~ 0.686],0.308119,slim,0.0014504194259643555
201,ElasticNet,delta G,kd,22770023.08287045,3.9271218141855,-0.5851690000000002,[-0.646 ~ -0.517],-23.060919000000002,slim,0.0014869213104248048
202,ElasticNet,Affinity Data Value,kd,1094805312126.0774,19923.18168235204,0.328338,[0.238 ~ 0.413],-0.030721,slim,0.0014611005783081055
203,ElasticNet,pKd pKi pIC50,kd,3.260754750352844,0.8914768357708256,0.6297689999999999,[0.567 ~ 0.685],0.30783199999999994,slim,0.0015304088592529297
204,SVR,delta G,kd,22775971.19138551,4.331688298349478,-0.6185999999999999,[-0.675 ~ -0.554],-23.067204,slim,0.06010160446166992
205,SVR,Affinity Data Value,kd,1131427553545.7158,48.645249156258274,0.37974,[0.293 ~ 0.46],-0.06520000000000001,slim,0.058866143226623535
206,SVR,pKd pKi pIC50,kd,3.0191758555026,1.097643791792432,0.6203320000000001,[0.556 ~ 0.677],0.35911299999999996,slim,0.05490789413452148
207,DecisionTree,delta G,kd,22776772.93886943,9.995942370269914,-0.33142799999999994,[-0.416 ~ -0.242],-23.068051999999998,slim,0.0018201351165771484
208,DecisionTree,Affinity Data Value,kd,1125257864774.2036,149030.1108919975,0.028793999999999993,[-0.069 ~ 0.126],-0.059390999999999985,slim,0.002055931091308594
209,DecisionTree,pKd pKi pIC50,kd,4.587463859649122,1.7738167982789463,0.4432539999999999,[0.361 ~ 0.518],0.026209000000000003,slim,0.0017851829528808595
210,RandomForest,delta G,kd,22776364.294284448,4.578078837377505,-0.6771279999999998,[-0.727 ~ -0.621],-23.06762,slim,0.04936890602111817
211,RandomForest,Affinity Data Value,kd,1061033780270.9453,134059.56378141465,0.205629,[0.11 ~ 0.297],0.0010729999999999997,slim,0.04981434345245361
212,RandomForest,pKd pKi pIC50,kd,2.8588219895789466,1.0223767640160237,0.6706839999999998,[0.613 ~ 0.721],0.393151,slim,0.04909136295318604
213,XGBoost,delta G,kd,22775031.684527017,6.613328838348389,-0.546043,[-0.611 ~ -0.474],-23.066212000000004,slim,0.013173842430114746
214,XGBoost,Affinity Data Value,kd,1118347263417.6958,141405.140625,0.022673,[-0.075 ~ 0.12],-0.052885,slim,0.012796497344970703
215,XGBoost,pKd pKi pIC50,kd,3.233979002236979,1.3281989097595215,0.5765019999999998,[0.507 ~ 0.638],0.31351599999999996,slim,0.013493108749389648
